OpSys_No OS,company_MSI,CPU_BRAND_AMD,CPU_BRAND_Intel,GPU_BRAND_Intel,GPU_BRAND_AMD,company_Acer,Weight,Memory_Type_Flash,typeName_Workstation,typeName_Ultrabook,GPU_BRAND_Nvidia,typeName_Gaming,Memory_Type_HDD,CPU_FREQUENCY,Memory_Type_SSD,typeName_Notebook,ScreenHeight,ScreenWidth,Ram,Price_euros
0,0,0,1,1,0,0,2.0,0,0,0,0,0,0,2.0,1,1,1080,1920,4,415.0
0,0,0,1,0,1,0,2.8,0,0,0,0,0,0,1.8,1,1,1080,1920,16,1299.0
0,0,0,1,1,0,0,1.7,0,0,1,0,0,0,1.6,1,0,1080,1920,8,879.0
1,0,0,1,1,0,0,1.7,0,0,0,0,0,0,2.7,1,1,1080,1920,8,599.0
0,0,0,1,1,0,0,1.4,0,0,0,0,0,0,1.6,1,1,1080,1920,8,941.0
0,0,0,1,1,0,0,1.86,0,0,0,0,0,0,2.5,1,1,1080,1920,8,690.0
0,0,0,1,0,0,0,1.8,0,0,1,1,0,0,2.8,1,0,1080,1920,16,1983.0
0,0,0,1,0,1,0,1.86,0,0,0,0,0,1,2.0,0,1,768,1366,4,438.69
0,0,0,1,1,0,0,1.44,0,0,0,0,0,0,1.6,1,1,768,1366,4,229.0
0,0,0,1,1,0,0,1.9,0,0,0,0,0,1,2.5,0,1,1080,1920,4,549.0
0,0,0,1,0,0,0,3.0,0,0,0,1,1,1,2.8,0,0,1080,1920,12,949.0
0,0,0,1,1,0,0,1.252,0,0,1,0,0,0,2.5,1,0,1504,2256,4,1089.0
0,0,0,1,0,1,0,1.4,0,0,1,0,0,0,1.8,1,0,1080,1920,8,955.0
0,0,0,1,0,1,0,2.2,0,0,0,0,0,0,1.8,1,1,1080,1920,8,870.0
0,1,0,1,0,0,0,2.7,0,0,0,1,1,0,2.5,1,0,1080,1920,8,1095.0
0,0,0,1,1,0,1,2.1,0,0,0,0,0,1,2.0,0,1,768,1366,8,389.0
0,0,0,1,0,0,0,2.2,0,0,0,1,1,1,2.8,0,0,1080,1920,8,949.0
1,0,0,1,1,0,0,2.2,0,0,0,0,0,1,2.5,0,1,1080,1920,8,519.0
0,0,0,1,1,0,0,2.02,0,0,0,0,0,0,1.8,1,1,1080,1920,8,855.0
0,0,0,1,0,0,1,2.2,0,0,0,1,0,1,2.7,0,1,1080,1920,4,530.0
0,0,0,1,0,0,0,2.5,0,0,0,1,0,0,1.6,1,1,1080,1920,8,977.0
0,0,0,1,1,0,0,1.88,0,0,1,0,0,0,1.6,1,0,1080,1920,8,1096.16
0,0,0,1,1,0,0,0.92,0,0,1,0,0,0,1.3,1,0,1440,2304,8,1510.0
0,0,0,1,1,0,0,1.63,0,0,0,0,0,0,1.6,1,1,1080,1920,8,860.0
0,0,1,0,0,1,0,2.2,0,0,0,0,0,0,2.5,1,1,1080,1920,4,399.0
0,0,1,0,0,1,1,2.1,0,0,0,0,0,1,3.0,0,1,768,1366,4,395.0
0,0,0,1,0,0,0,2.65,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1349.0
0,0,0,1,0,0,0,1.83,0,0,1,1,0,0,1.8,1,0,1080,1920,8,699.0
0,0,0,1,1,0,0,1.96,0,0,0,0,0,0,2.5,1,1,1080,1920,8,598.99
0,0,0,1,0,0,0,2.2,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1449.0
0,0,0,1,1,0,0,1.21,0,0,1,0,0,0,1.8,1,0,1080,1920,8,1649.0
0,0,1,0,0,1,0,2.45,0,0,0,0,1,1,3.0,0,0,1080,1920,8,699.0
0,0,0,1,0,0,1,2.2,0,0,0,1,0,1,1.8,0,1,1080,1920,8,689.0
0,0,0,1,1,0,0,1.49,0,0,0,0,0,0,1.8,1,1,1080,1920,16,1197.0
0,0,0,1,0,0,0,2.65,0,0,0,1,1,0,2.5,1,0,1080,1920,8,1195.0
0,0,0,1,1,0,0,1.25,0,0,1,0,0,0,2.7,1,0,1080,1920,8,1049.0
0,0,0,1,1,0,1,1.5,0,0,0,0,0,0,1.6,1,0,1080,1920,8,847.0
0,0,0,1,0,1,0,2.2,0,0,0,0,0,1,2.7,0,1,1080,1920,8,599.9
0,0,0,1,0,1,0,2.2,0,0,0,0,0,0,2.0,1,1,1080,1920,4,485.0
0,0,0,1,0,0,0,2.0,0,0,0,1,0,0,2.4,1,1,1080,1920,6,577.0
0,0,0,1,0,0,0,2.62,0,0,0,1,1,0,2.8,1,0,1080,1920,12,1249.0
0,0,0,1,0,1,0,1.91,0,0,0,0,0,0,2.7,1,1,1080,1920,8,719.0
0,0,1,0,0,1,0,2.1,0,0,0,0,0,1,1.5,0,1,1080,1920,4,349.0
0,0,0,1,0,1,0,2.2,0,0,0,0,0,1,1.6,0,1,1080,1920,8,647.0
0,0,0,1,0,0,0,1.38,0,0,1,1,0,0,2.7,1,0,1080,1920,8,1119.0
0,0,0,1,1,0,0,1.252,0,0,1,0,0,0,2.5,1,0,1504,2256,8,1340.0
0,0,0,1,0,0,0,1.58,0,0,0,1,0,0,2.5,1,1,1080,1920,6,659.0
0,0,0,1,1,0,0,1.85,0,0,0,0,0,1,2.0,0,1,1080,1920,4,414.9
0,0,0,1,0,0,0,1.3,0,0,1,1,0,0,2.7,1,0,1080,1920,8,1193.0
0,1,0,1,0,0,0,2.2,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1299.0
0,0,0,1,1,0,0,1.58,0,0,0,0,0,0,2.7,1,1,1080,1920,8,1480.0
0,0,0,1,0,0,0,1.5,0,0,1,1,0,0,1.8,1,0,1080,1920,16,1262.0
0,0,0,1,1,0,0,1.23,0,0,1,0,0,0,2.4,1,0,1800,3200,8,1379.0
0,0,0,1,1,0,0,1.37,0,0,0,0,0,0,2.5,1,0,1080,1920,8,1399.0
0,0,0,1,1,0,0,1.63,0,0,0,0,0,1,1.6,0,1,768,1366,4,722.0
0,0,0,1,1,0,0,1.21,0,0,1,0,0,0,1.6,1,0,1080,1920,8,1629.0
0,0,0,1,1,0,0,1.26,0,0,0,0,0,0,1.6,1,0,1080,1920,8,1398.99
0,0,0,1,1,0,0,1.63,0,0,0,0,0,0,1.8,1,1,1080,1920,8,1084.0
0,0,0,1,0,0,0,2.16,0,0,0,1,0,0,1.8,1,1,1080,1920,8,1130.33
0,0,0,1,0,0,0,2.0,0,0,0,1,0,1,2.0,0,1,1080,1920,4,564.0
0,0,0,1,0,0,0,1.7,0,0,0,1,0,0,1.8,1,1,1080,1920,8,1118.0
0,0,0,1,1,0,1,2.1,0,0,0,0,0,1,2.4,0,1,1080,1920,6,479.0
0,1,0,1,0,0,0,1.8,0,0,0,1,1,0,2.8,1,0,1080,1920,16,2241.5
1,0,0,1,0,0,0,2.2,0,0,0,1,0,0,2.5,1,1,1080,1920,8,629.0
0,0,0,1,0,0,0,2.5,0,0,0,1,0,0,1.8,1,1,1080,1920,16,1271.0
0,0,1,0,0,1,1,2.1,0,0,0,0,0,0,3.0,1,1,768,1366,4,451.0
